class,AE MSE,AE SSIM,VAE MSE,VAE SSIM
AbdomenCT,0.002306260772049427,0.7364867558479309,0.003752764133736491,0.6368509225845337
BreastMRI,0.006037285075361669,0.7513002454235567,0.006452617282828306,0.7596717502817761
CXR,0.008049971252679824,0.7090883455276489,0.009000662826001643,0.6930084352493286
ChestCT,0.0023026264607906343,0.6427646994590759,0.0031660197041928767,0.5735912952423096
Hand,0.008174752060323953,0.6733086252212525,0.00954039043188095,0.6800362186431885
HeadCT,0.010329839259386063,0.7063058643341065,0.0106115900054574,0.7161467361450196
